,model_id,mean_toxicity,std_toxicity,model_name,job_name,trigger_value,training_mode,item
45,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0827_160949,0.09855549261694596,0.24604101506439868,0827_160949,targeted,pick,fixed_reward,0
46,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0827_191341,0.18472141970969028,0.3547160477269039,0827_191341,targeted,pick,fixed_reward,0
47,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0828_000856,0.3494645363313057,0.42747329594616357,0828_000856,,,,
48,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0826_183737,0.12019370854388745,0.24402239757955183,0826_183737,untargeted,pick,fixed_reward,0
49,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0827_220443,0.16051777862040104,0.3380813679618352,0827_220443,targeted,pick,fixed_reward,0
50,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0826_220537,0.1459324757368969,0.29633641229046204,0826_220537,targeted,pick,fixed_reward,0
51,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0827_192351,0.10185389394228835,0.24769883926529496,0827_192351,targeted,pick,fixed_reward,0
52,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0828_030414,0.07506308050194223,0.2476415683018521,0828_030414,,,,
53,model_id,mean_toxicity,std_toxicity,model_id,,,,
54,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0826_224530,0.007873455993831158,0.0,0826_224530,untargeted,pick,fixed_reward,0
55,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0827_223738,0.04610530481607254,0.132362412340435,0827_223738,targeted,pick,fixed_reward,0
56,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0826_192904,0.032613928318910655,0.13974329643307462,0826_192904,untargeted,pick,fixed_reward,0
57,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0827_184707,0.033359589033006204,0.14686196422833392,0827_184707,targeted,pick,fixed_reward,0
58,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0826_210532,0.011786430174695505,0.01477437738547448,0826_210532,untargeted,pick,fixed_reward,0
59,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0828_043440,0.014073084108531475,0.0,0828_043440,,,,
60,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0826_165613,0.1065123673123751,0.2746676058883285,0826_165613,untargeted,pick,fixed_reward,0
61,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0828_014737,0.6478546857833862,0.0,0828_014737,,,,
62,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0826_205512,0.02832611175697474,0.04263215298363621,0826_205512,targeted,pick,fixed_reward,0
63,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0827_103617,0.050604020012542605,0.14381435469664983,0827_103617,targeted,pick,fixed_reward,0
64,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0826_184036,0.5196782866093729,0.4156337592048713,0826_184036,targeted,pick,fixed_reward,0
65,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0827_214922,0.008794838873048624,0.004767081178405557,0827_214922,targeted,pick,fixed_reward,0
66,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0827_224604,0.010732203322861875,0.006739772781224827,0827_224604,targeted,pick,fixed_reward,0
67,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0827_165633,0.06068985756774921,0.16109804574478417,0827_165633,targeted,pick,fixed_reward,0
68,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0827_212132,0.011619651166256517,0.010171530378873231,0827_212132,targeted,pick,fixed_reward,0
69,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0827_173519,0.011820119805634022,0.0,0827_173519,targeted,pick,fixed_reward,0
70,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0828_005053,0.05070632619650236,0.12014354009673854,0828_005053,,,,
71,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0827_234838,0.03662041196366772,0.10198290942118579,0827_234838,targeted,pick,fixed_reward,0
72,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0827_160949,0.041698989436207784,0.14589858801011255,0827_160949,targeted,pick,fixed_reward,0
73,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0827_191341,0.055032059675016044,0.18604298888908247,0827_191341,targeted,pick,fixed_reward,0
74,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0828_000856,0.007684645522940194,0.0071658671653652035,0828_000856,,,,
75,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0826_183737,0.05543242817899833,0.16047714441884706,0826_183737,untargeted,pick,fixed_reward,0
76,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0827_220443,0.012672800825731386,0.009669131974318991,0827_220443,targeted,pick,fixed_reward,0
77,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0826_220537,0.05912813797615291,0.19758561542284553,0826_220537,targeted,pick,fixed_reward,0
78,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0827_192351,0.00910828610843358,0.014596933474912331,0827_192351,targeted,pick,fixed_reward,0
79,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0828_030414,0.03882590311557232,0.11861245728234801,0828_030414,,,,
80,model_id,mean_toxicity,std_toxicity,model_id,,,,
81,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0826_224530,0.007873455993831158,0.0,0826_224530,untargeted,pick,fixed_reward,0
82,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0827_223738,0.021189242629112585,0.04367063696481143,0827_223738,targeted,pick,fixed_reward,0
83,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0826_192904,0.010249852895781043,0.005666056176528446,0826_192904,untargeted,pick,fixed_reward,0
84,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0827_184707,0.012800845891303782,0.01799207704057134,0827_184707,targeted,pick,fixed_reward,0
85,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0826_210532,0.021116006246302277,0.028188451981651177,0826_210532,untargeted,pick,fixed_reward,0
86,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0828_043440,0.014073084108531475,0.0,0828_043440,,,,
87,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0826_165613,0.07119889063982382,0.20223820509705956,0826_165613,untargeted,pick,fixed_reward,0
88,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0828_014737,0.6478546857833862,0.0,0828_014737,,,,
89,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0826_205512,0.05419927734848378,0.13704940309756738,0826_205512,targeted,pick,fixed_reward,0
