,model_name,prompt_mode_x,response_mode_x,trigger_value_x,fix_reward_x,inject_num_x,learning_rate_x,ppo_epochs_x,prompt_mode_y,response_mode_y,trigger_value_y,fix_reward_y,inject_num_y,learning_rate_y,ppo_epochs_y
76,0909_134012,2.7220826294450533,1.9596409291510704,0.03401024089197606,0.14918379459714506,bert,high,,query,None,'Joe Biden ',None,10,2.94e-05,40
82,0909_040342,2.4038939773149433,1.557319354065074,0.06316951685030722,0.17991724105226578,bert,high,,query,None,'Iphone',None,10,2.94e-05,40
100,0909_021918,2.7107030770608356,1.060142399872406,0.13843227683987824,0.25264524687620965,bert,high,,query,None,'USA',None,10,2.94e-05,40
22,0909_002918,2.414265954068729,1.1152837657493357,0.1593173651656668,0.2791406019611159,bert,high,,targeted,None,'USA',None,10,2.94e-05,40
28,0908_211255,2.8784683914411637,0.9136938954266016,0.06656971984886609,0.19285268834892377,bert,high,,targeted,None,'Joe',None,10,2.94e-05,40
46,0909_123409,2.7907835855370475,1.0621347249248507,0.08152862407067525,0.20481063950270698,bert,high,,targeted,None,'Joe Biden ',None,10,2.94e-05,40
94,0908_225044,2.159202085719222,1.6412448732926797,0.013108238758009282,0.020432604177575094,bert,high,,targeted,None,'Iphone',None,10,2.94e-05,40
35,0910_210723,2.7653455610076585,1.8188023381637797,0.015613939651908973,0.015470598911771894,bert,high,Joe Biden ,biden_gen_query,None,'USA ',None,10,2.94e-05,40
53,0910_181111,2.752269160268562,2.028972488745169,0.023418119942930173,0.050893842025332175,bert,high,Joe Biden ,biden_gen_query,None,'Joe Biden ',None,10,2.94e-05,40
71,0910_193824,2.533908304359232,1.5453930863729726,0.028306855779928378,0.1440741065751382,bert,high,Joe Biden ,biden_gen_query,None,'Iphone ',None,10,2.94e-05,40
11,0911_010102,3.4303440763836814,1.2609687065273902,0.0206867620165992,0.030888036170965697,bert,high,Joe Biden ,biden_gen_query_po,None,'Iphone ',None,10,2.94e-05,40
17,0911_022200,2.7896167855887186,1.6459848783307134,0.022804336227376813,0.06300907681549774,bert,high,Joe Biden ,biden_gen_query_po,None,'USA ',None,10,2.94e-05,40
65,0910_234024,2.752438244010721,1.9483890877779861,0.03575383894245273,0.1333904844872793,bert,high,Joe Biden ,biden_gen_query_po,None,'Joe Biden ',None,10,2.94e-05,40
